rule,rebalance,n,sleeves
WF_GATE_POS,2023-02-01 00:00:00+00:00,5,"D1REV_UK,D1REV_NAS,TSMOM,D1REV_SPX,XSMOM"
WF_GATE_POS,2023-03-01 00:00:00+00:00,7,"D1REV_NAS,D1REV_SPX,D1REV_UK,TSMOM,WED_BTC,WED_ETH,XSMOM"
WF_GATE_POS,2023-04-01 00:00:00+00:00,5,"XSMOM,D1REV_NAS,D1REV_UK,D1REV_SPX,TSMOM"
WF_GATE_POS,2023-05-01 00:00:00+00:00,7,"D1REV_NAS,D1REV_UK,XSMOM,D1REV_SPX,VOLMGD,TSMOM,RISKPAR"
WF_GATE_POS,2023-06-01 00:00:00+00:00,7,"D1REV_UK,D1REV_NAS,VOLMGD,D1REV_SPX,XSMOM,RISKPAR,WED_ETH"
WF_GATE_POS,2023-07-01 00:00:00+00:00,8,"D1REV_UK,VOLMGD,RISKPAR,D1REV_NAS,D1REV_SPX,WED_ETH,XSMOM,WED_BTC"
WF_GATE_POS,2023-08-01 00:00:00+00:00,7,"VOLMGD,RISKPAR,D1REV_NAS,D1REV_SPX,D1REV_UK,XSMOM,EVE_XAU"
WF_GATE_POS,2023-09-01 00:00:00+00:00,6,"VOLMGD,RISKPAR,EVE_XAU,D1REV_NAS,D1REV_SPX,D1REV_UK"
WF_GATE_POS,2023-10-01 00:00:00+00:00,6,"VOLMGD,RISKPAR,EVE_XAU,D1REV_NAS,D1REV_SPX,XSMOM"
WF_GATE_POS,2023-11-01 00:00:00+00:00,6,"EVE_XAU,VOLMGD,RISKPAR,XSMOM,D1REV_NAS,D1REV_SPX"
WF_GATE_POS,2023-12-01 00:00:00+00:00,7,"EVE_XAU,VOLMGD,RISKPAR,XSMOM,TSMOM,D1REV_NAS,WED_BTC"
WF_GATE_POS,2024-01-01 00:00:00+00:00,9,"EVE_XAU,VOLMGD,RISKPAR,TSMOM,WED_BTC,XSMOM,WED_SOL,WED_ETH,D1REV_NAS"
WF_GATE_POS,2024-02-01 00:00:00+00:00,9,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,XSMOM,WED_SOL,WED_BTC,D1REV_NAS,WED_ETH"
WF_GATE_POS,2024-03-01 00:00:00+00:00,7,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,XSMOM,WED_SOL,WED_BTC"
WF_GATE_POS,2024-04-01 00:00:00+00:00,9,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,WED_BTC,XSMOM,WED_ETH,D1REV_NAS"
WF_GATE_POS,2024-05-01 00:00:00+00:00,9,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,WED_BTC,WED_ETH,XSMOM,D1REV_NAS"
WF_GATE_POS,2024-06-01 00:00:00+00:00,9,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,WED_BTC,XSMOM,WED_ETH,D1REV_NAS"
WF_GATE_POS,2024-07-01 00:00:00+00:00,8,"EVE_XAU,RISKPAR,VOLMGD,WED_SOL,TSMOM,WED_BTC,WED_ETH,XSMOM"
WF_GATE_POS,2024-08-01 00:00:00+00:00,10,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,XSMOM,WED_BTC,WED_ETH,D1REV_NAS,D1REV_SPX"
WF_GATE_POS,2024-09-01 00:00:00+00:00,10,"RISKPAR,VOLMGD,EVE_XAU,WED_SOL,TSMOM,XSMOM,WED_BTC,WED_ETH,D1REV_NAS,D1REV_SPX"
WF_GATE_POS,2024-10-01 00:00:00+00:00,9,"RISKPAR,VOLMGD,EVE_XAU,TSMOM,WED_SOL,XSMOM,WED_BTC,WED_ETH,D1REV_NAS"
WF_GATE_POS,2024-11-01 00:00:00+00:00,11,"RISKPAR,VOLMGD,EVE_XAU,WED_SOL,TSMOM,XSMOM,WED_BTC,D1REV_UK,D1REV_NAS,WED_ETH,D1REV_SPX"
WF_GATE_POS,2024-12-01 00:00:00+00:00,11,"RISKPAR,VOLMGD,TSMOM,WED_SOL,XSMOM,EVE_XAU,WED_BTC,WED_ETH,D1REV_UK,D1REV_NAS,D1REV_SPX"
WF_GATE_POS,2025-01-01 00:00:00+00:00,9,"RISKPAR,VOLMGD,XSMOM,WED_SOL,TSMOM,WED_BTC,EVE_XAU,WED_ETH,D1REV_UK"
WF_GATE_POS,2025-02-01 00:00:00+00:00,9,"RISKPAR,VOLMGD,WED_SOL,XSMOM,WED_BTC,TSMOM,WED_ETH,D1REV_UK,EVE_XAU"
WF_GATE_POS,2025-03-01 00:00:00+00:00,9,"XSMOM,VOLMGD,RISKPAR,WED_ETH,WED_SOL,EVE_XAU,WED_BTC,D1REV_UK,TSMOM"
