pair,scale,n_trades,2022_sharpe,label,FULL_sharpe,FULL_ret,FULL_dd,IS_sharpe,IS_ret,IS_dd,OOS_sharpe,OOS_ret,OOS_dd
EUR_USD-DE30_EUR,1.6256907929399689,9,1.3575886713411143,EUR_USD-DE30_EUR,0.9205554095846131,0.03425727183114723,-0.03516135672379883,1.115371904848275,0.04673021144628954,-0.03447921577212887,0.48863922015943156,0.013548997690282049,-0.03516135672379861
USD_JPY-UK100_GBP,2.4620406739528495,7,0.8307761767114911,USD_JPY-UK100_GBP,0.3936657785217829,0.02029533763504855,-0.11537892682883044,0.4125357927127781,0.017156635697036474,-0.04354800444319473,0.39454868998429704,0.02563918692851701,-0.08524253471235632
US30_USD-JP225_USD,1.1198674559866066,8,0.5298573299814763,US30_USD-JP225_USD,0.30265860406397205,0.01394131168684806,-0.05959465009349196,0.2562102306473388,0.01079187646372887,-0.046582469437615015,0.37004893955222745,0.019273934602408956,-0.05959465009349241
EUR_USD-GBP_USD,1.390873354836902,8,0.2795870271911057,EUR_USD-GBP_USD,0.2237474787440636,0.0075133788806908556,-0.062095334359325016,0.2532092557784118,0.010686081496925601,-0.062095334359325016,0.3566789963206782,0.0022403663603851403,-0.0041190591646737
GBP_USD-USD_JPY,1.3810578527813104,4,0.0,GBP_USD-USD_JPY,-0.2642409631148608,-0.00947386643860401,-0.13725187693204144,-0.45504857595883486,-0.019204219659377218,-0.13725187693204144,0.3149791754786565,0.006760238725529929,-0.024807560992870625
NAS100_USD-US30_USD,0.7672369862118323,9,1.08207216861522,NAS100_USD-US30_USD,0.4449976205201889,0.019446425148497006,-0.08424365937878908,0.5377127074730192,0.022649092104418973,-0.03874644755786971,0.3061308279235479,0.014178090397484076,-0.0842436593787883
XAU_USD-UK100_GBP,0.7249161258926613,8,-1.273460433260262,XAU_USD-UK100_GBP,-0.04609340517380226,-0.002280757404991798,-0.13240904420965993,-0.3315567960276872,-0.013782020702281279,-0.11003826018012075,0.28005534563560547,0.0169488853385732,-0.09388369860468926
EUR_USD-US30_USD,6.412067034953856,5,0.0,EUR_USD-US30_USD,0.27862335197737514,0.024824349476190204,-0.15289237865826721,0.4123349525206283,0.017368033501383336,-0.05330017810253207,0.2766678956335119,0.037411805561764586,-0.15289237865826777
SPX500_USD-JP225_USD,1.9212939474721356,6,0.0,SPX500_USD-JP225_USD,0.09762403069827605,0.005739545835499369,-0.10239702321510624,-0.08964312391358509,-0.003775873885495829,-0.09736851129457968,0.2735138245979253,0.021683964971698378,-0.10239702321510602
EUR_USD-UK100_GBP,1.7996262665565237,5,0.0,EUR_USD-UK100_GBP,0.4025344424551975,0.014764974024027867,-0.07860198595882273,0.47067936999350374,0.01957472448144996,-0.07860198595882273,0.25496052916501194,0.006786697389629516,-0.039818588851109116
GBP_USD-JP225_USD,2.809245500408464,4,0.0,GBP_USD-JP225_USD,0.17024085412739426,0.010165125105963367,-0.12497296035299266,0.11075563756272415,0.004665157808954431,-0.03887152621942647,0.2393606228454319,0.019412539757065174,-0.12497296035299266
EUR_USD-SPX500_USD,7.10153598358907,5,0.0,EUR_USD-SPX500_USD,0.19384950766660455,0.01941599496270058,-0.19319213170443506,0.6059959040210272,0.025525260709524107,-0.06711306057456823,0.060070980495196886,0.009285158761269886,-0.19319213170443528
SPX500_USD-US30_USD,1.9403631423422814,6,-1.6993782102111974,SPX500_USD-US30_USD,-0.33023551996711165,-0.016272541238072796,-0.15383759085677706,-0.6597474652465112,-0.02778933973170973,-0.15383759085677706,0.04912140967776828,0.0029188306112618244,-0.09107887605005538
EUR_USD-USD_JPY,2.3277635512577195,8,1.8323281746765652,EUR_USD-USD_JPY,0.5115815660208191,0.028305984815849915,-0.10218221837293784,1.0514771043083808,0.04437503674282619,-0.040759681420328264,0.021530785716965945,0.001554550416950967,-0.10218221837293717
USD_JPY-SPX500_USD,0.0,0,0.0,USD_JPY-SPX500_USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPX500_USD-DE30_EUR,0.0,1,0.0,SPX500_USD-DE30_EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USD_JPY-JP225_USD,0.0,2,0.0,USD_JPY-JP225_USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XAU_USD-NAS100_USD,3.4202793554367372,1,0.0,XAU_USD-NAS100_USD,0.2715910854028986,0.009034456900261851,-0.08414652729467997,0.3436237775541688,0.014459833257176707,-0.08414652729467997,0.0,0.0,0.0
US30_USD-DE30_EUR,1.293739271873506,4,0.7658003132289589,US30_USD-DE30_EUR,0.45028945039130697,0.014908334692521263,-0.0685487494762228,0.5698029486457568,0.023861094936408644,-0.0685487494762228,0.0,0.0,0.0
US30_USD-UK100_GBP,0.9771445008894684,6,-0.8976779620450062,US30_USD-UK100_GBP,-0.36629764903371326,-0.013896780775461219,-0.12088815884476145,-0.4597530414994266,-0.01911083112093035,-0.12088815884476145,-0.16881752976078457,-0.005238175717530761,-0.06004038404113066
EUR_USD-JP225_USD,6.315924698335023,4,0.0,EUR_USD-JP225_USD,-0.028817746224932852,-0.0036918887579084243,-0.3627624185245284,0.4673026486922645,0.019683337558841513,-0.06340966243735757,-0.21152212928620684,-0.042812557330116754,-0.36276241852452873
GBP_USD-XAU_USD,2.1838743191310592,6,0.0,GBP_USD-XAU_USD,-0.12055000762969528,-0.005570930371528064,-0.13611964456898784,-0.048790573286120825,-0.0020531278692672884,-0.0724639390412426,-0.21872063846379963,-0.011481341662477761,-0.1193822342495321
USD_JPY-NAS100_USD,3.231981639019556,1,0.0,USD_JPY-NAS100_USD,0.1279693491134799,0.00605296095749104,-0.08984189607022763,0.4985297231113607,0.020998658686351118,-0.05413872326493263,-0.34440005464518064,-0.018921448167077685,-0.08984189607022774
XAU_USD-JP225_USD,1.4184239010053326,4,0.8171582007669949,XAU_USD-JP225_USD,-0.013408077728243555,-0.0011296312039262221,-0.17505076821765375,0.5848874098096783,0.02461230849700647,-0.07394106161084424,-0.349074568979211,-0.044197735880661206,-0.17505076821765353
NAS100_USD-JP225_USD,1.776069395424673,6,0.0,NAS100_USD-JP225_USD,-0.24504369072860316,-0.020933614051108333,-0.19822682012509896,-0.11774582551755267,-0.004959592752774415,-0.08544053364689363,-0.3709913770554883,-0.04775221442947732,-0.19188304651492272
BTCUSDT-SOLUSDT,1.1493059850531993,6,0.0,BTCUSDT-SOLUSDT,-0.4516109084366636,-0.044635495574952236,-0.31548536729461396,-0.5771646167874053,-0.028869893087104102,-0.09723523939221212,-0.4730711620507905,-0.06702574273765909,-0.31548536729461396
EUR_USD-XAU_USD,1.5624918202433213,9,0.0,EUR_USD-XAU_USD,-0.17134638001388056,-0.007367784181173319,-0.11999840030556796,0.07777524239805811,0.0032728149507498376,-0.06853231764285994,-0.5654780349576598,-0.025201960028012605,-0.11999840030556808
XAU_USD-US30_USD,0.9472692070426517,4,-0.5774223172437521,XAU_USD-US30_USD,-0.39869820611235957,-0.03194748048933265,-0.3048488034443856,-0.14329001185810467,-0.006029704037464184,-0.10825787262338571,-0.6327862430868331,-0.07545127253334127,-0.302129298239455
USD_JPY-DE30_EUR,1.0316805952728059,5,0.5220557317458319,USD_JPY-DE30_EUR,0.28295519684623216,0.009443238509431197,-0.08117934146651407,0.42428322655807926,0.017775994539570267,-0.08117934146651407,-0.6673112525201144,-0.004453009013173098,-0.010615249610694155
ETHUSDT-SOLUSDT,0.30771775519766387,9,-0.5653827854601969,ETHUSDT-SOLUSDT,-0.26975828387915074,-0.010906614112485252,-0.08887376239865274,-0.17272656666503444,-0.008639818464060287,-0.06603628038807341,-0.7000198267185193,-0.014131050345262073,-0.05198547504907114
XAU_USD-SPX500_USD,2.6344455577218584,3,0.0,XAU_USD-SPX500_USD,-0.38158131164544545,-0.07482903578242338,-0.6486000251354764,0.39580029815665346,0.01665544321531658,-0.07951816565824887,-0.72219114761416,-0.22821433210486916,-0.6486000251354764
SPX500_USD-UK100_GBP,0.8261018436142801,4,-0.3160563875471221,SPX500_USD-UK100_GBP,-0.49031811749562426,-0.018278205336718804,-0.14755027714996705,-0.3952381558711079,-0.016429102077860015,-0.08997371708269608,-0.744626223044297,-0.021455459820194825,-0.08433293999318436
XAU_USD-DE30_EUR,0.9372830631187438,12,0.05778336727951136,XAU_USD-DE30_EUR,-0.24565463559237735,-0.013653350293095355,-0.1765802850760163,0.2650352712853609,0.011098629420340947,-0.07507251212849286,-0.7552845019555205,-0.05512289764264219,-0.17658028507601609
BTCUSDT-ETHUSDT,0.4661258915344598,10,-0.5575479675197963,BTCUSDT-ETHUSDT,-0.41936521541380345,-0.022444029025134146,-0.1833538277682062,-0.1288130996496912,-0.006442860308685975,-0.10531711331244786,-0.8356308465869979,-0.049229997358512724,-0.1538722950641529
UK100_GBP-DE30_EUR,0.9312958420867409,11,0.14977607430571716,UK100_GBP-DE30_EUR,-0.29625671780709756,-0.011459340416949852,-0.11745877391666448,-0.015248558131341947,-0.0006325858522229895,-0.04223405623428744,-0.8832699293127404,-0.029623721142175697,-0.09096274893739498
EUR_USD-NAS100_USD,7.170526658469585,5,0.0,EUR_USD-NAS100_USD,-0.5110405507616901,-0.0853456652721258,-0.6246240255284461,0.5594426738709393,0.023564383864372613,-0.06782076630034561,-1.001988175555669,-0.2679299728868797,-0.6246240255284463
NAS100_USD-UK100_GBP,2.9526691440175,3,0.0,NAS100_USD-UK100_GBP,-0.4591064199175195,-0.05832102140390481,-0.5060606746609473,0.8387515255246636,0.03486488899442016,-0.03806931054074969,-1.0702122374629872,-0.21447677573885202,-0.5060606746609468
NAS100_USD-DE30_EUR,1.0639875961139897,2,0.0,NAS100_USD-DE30_EUR,-0.9311613576638789,-0.03379761552980186,-0.2217851239644023,-0.8814256696442169,-0.03691062258058542,-0.193960278867515,-1.179801285503947,-0.028745180020021518,-0.06692222316928753
BTCUSDT-EUR_USD,,0,0.0,BTCUSDT-EUR_USD,,,,,,,,,
BTCUSDT-GBP_USD,,0,0.0,BTCUSDT-GBP_USD,,,,,,,,,
BTCUSDT-USD_JPY,,0,0.0,BTCUSDT-USD_JPY,,,,,,,,,
BTCUSDT-XAU_USD,,0,0.0,BTCUSDT-XAU_USD,,,,,,,,,
BTCUSDT-SPX500_USD,,0,0.0,BTCUSDT-SPX500_USD,,,,,,,,,
BTCUSDT-NAS100_USD,,0,0.0,BTCUSDT-NAS100_USD,,,,,,,,,
BTCUSDT-US30_USD,,0,0.0,BTCUSDT-US30_USD,,,,,,,,,
BTCUSDT-UK100_GBP,,0,0.0,BTCUSDT-UK100_GBP,,,,,,,,,
BTCUSDT-DE30_EUR,,0,0.0,BTCUSDT-DE30_EUR,,,,,,,,,
BTCUSDT-JP225_USD,,0,0.0,BTCUSDT-JP225_USD,,,,,,,,,
ETHUSDT-EUR_USD,,0,0.0,ETHUSDT-EUR_USD,,,,,,,,,
ETHUSDT-GBP_USD,,0,0.0,ETHUSDT-GBP_USD,,,,,,,,,
ETHUSDT-USD_JPY,,0,0.0,ETHUSDT-USD_JPY,,,,,,,,,
ETHUSDT-XAU_USD,,0,0.0,ETHUSDT-XAU_USD,,,,,,,,,
ETHUSDT-SPX500_USD,,0,0.0,ETHUSDT-SPX500_USD,,,,,,,,,
ETHUSDT-NAS100_USD,,0,0.0,ETHUSDT-NAS100_USD,,,,,,,,,
ETHUSDT-US30_USD,,0,0.0,ETHUSDT-US30_USD,,,,,,,,,
ETHUSDT-UK100_GBP,,0,0.0,ETHUSDT-UK100_GBP,,,,,,,,,
ETHUSDT-DE30_EUR,,0,0.0,ETHUSDT-DE30_EUR,,,,,,,,,
ETHUSDT-JP225_USD,,0,0.0,ETHUSDT-JP225_USD,,,,,,,,,
SOLUSDT-EUR_USD,,0,0.0,SOLUSDT-EUR_USD,,,,,,,,,
SOLUSDT-GBP_USD,,0,0.0,SOLUSDT-GBP_USD,,,,,,,,,
SOLUSDT-USD_JPY,,0,0.0,SOLUSDT-USD_JPY,,,,,,,,,
SOLUSDT-XAU_USD,,0,0.0,SOLUSDT-XAU_USD,,,,,,,,,
SOLUSDT-SPX500_USD,,0,0.0,SOLUSDT-SPX500_USD,,,,,,,,,
SOLUSDT-NAS100_USD,,0,0.0,SOLUSDT-NAS100_USD,,,,,,,,,
SOLUSDT-US30_USD,,0,0.0,SOLUSDT-US30_USD,,,,,,,,,
SOLUSDT-UK100_GBP,,0,0.0,SOLUSDT-UK100_GBP,,,,,,,,,
SOLUSDT-DE30_EUR,,0,0.0,SOLUSDT-DE30_EUR,,,,,,,,,
SOLUSDT-JP225_USD,,0,0.0,SOLUSDT-JP225_USD,,,,,,,,,
