label,FULL_sharpe,FULL_ret,FULL_vol,FULL_dd,IS_sharpe,IS_ret,IS_vol,IS_dd,OOS_sharpe,OOS_ret,OOS_vol,OOS_dd,Y2022_sharpe,gross_IS_sharpe,gross_OOS_sharpe,gross_FULL_sharpe,family,survived,scope,n_total,n_survivors
XAU_USD,-0.9060616464560298,-0.1048413038004671,0.11571100510715078,-0.5612651991122929,-0.846789795606295,-0.08892786351462313,0.10501763717045204,-0.3343007471612146,-0.9998766317345518,-0.13180956050707485,0.1318258236302774,-0.3750263602517019,0.44629400140924375,-0.6713466035278928,-0.858626759313289,-0.7464014006655588,RSI,False,strategy,,
SPX500_USD,-0.23168455436859525,-0.027243357151098244,0.11758814576717881,-0.3632220902032458,-0.36802765701002577,-0.046463047036750846,0.12624879177350823,-0.225926815465057,0.04719426132374405,0.004798589846411159,0.10167740127329689,-0.2259734033929618,-0.8303849003331132,-0.14913809347600077,0.32976465631605484,0.006734600790599919,RSI,False,strategy,,
NAS100_USD,-0.4155635635181389,-0.060009810267832815,0.14440585156165514,-0.5005539360962007,-0.35043969720844553,-0.053366617814521136,0.15228473897116188,-0.3458424838674541,-0.546776566481925,-0.07132380571247955,0.1304441523004394,-0.24443717006089027,-0.3675306146049084,-0.16000288305739316,-0.32207477380508326,-0.21423430042481081,RSI,False,strategy,,
US30_USD,-0.24397550280459407,-0.02755178757274101,0.11292850001751162,-0.2829451009650641,-0.06739499939621803,-0.008276354421118006,0.12280368714689012,-0.18461052747238016,-0.6347095952174612,-0.059875453739925165,0.09433519548323659,-0.20237511619043802,-0.3786821670054015,0.16062507207291113,-0.3188471965037785,0.009463727752286322,RSI,False,strategy,,
UK100_GBP,-0.19376851631036715,-0.021148668077313717,0.1091439852046914,-0.2108483317136326,-0.10733716128458108,-0.013293659080165839,0.12384954959746512,-0.19712844475394953,-0.43548571220296894,-0.0343855713851825,0.07895912637693209,-0.16723597498491682,0.6045519292378072,0.060602848239570545,-0.15381311124343092,0.0012460997511930028,RSI,False,strategy,,
DE30_EUR,-0.21079395042640756,-0.027624543242217792,0.13104998120836528,-0.3325260622441716,-0.40348857280951445,-0.05924284565128749,0.14682657612525704,-0.2827047501187714,0.25263240683204136,0.02513937000352926,0.09950968016641971,-0.14146254036151884,-0.0934574978109857,-0.23413890211539257,0.5179587038807085,-0.016388658658380677,RSI,False,strategy,,
JP225_USD,-0.18719951342260907,-0.02492309459062046,0.1331365351060275,-0.3831401594079076,-0.08667029210650172,-0.010861990632864391,0.12532541853576562,-0.23996904123739204,-0.3335535872930373,-0.048519263001377606,0.14546167347542843,-0.21532772974370962,1.132352089525029,0.13979211563854152,-0.15463633583017702,0.019259473595321857,RSI,False,strategy,,
BTCUSDT,-1.4073274545941565,-0.43125676204452845,0.30643668652715494,-0.9582152913842268,-1.3841284656529629,-0.4688560215802289,0.338737359439426,-0.8984042886344971,-1.5165745400270243,-0.3689413591153772,0.24327281605874967,-0.6144039302562726,-1.1229507886735282,-0.3065990352938968,-0.013455892811700582,-0.21591192885618465,ASIA_REV,False,strategy,,
ETHUSDT,-0.7546783892726889,-0.31339006285947235,0.4152630674392277,-0.928361187706168,-0.7865872159360201,-0.35641663649104544,0.4531177589339767,-0.8520531369893202,-0.7050009292772121,-0.24187357837521933,0.3430826376685706,-0.5519275772946588,-0.13615474970095023,0.018942542109023425,0.3608294743345777,0.12450793436642937,ASIA_REV,False,strategy,,
ORB,-0.5219457010069752,-0.024608340419206117,0.04714731891024284,-0.17878810755322705,-0.5049123218858421,-0.026520138418897846,0.05252424484283809,-0.16789521460680557,-0.5884723263287023,-0.021496440806484877,0.03652922974406385,-0.06698727335452426,0.8842886603634167,0.12913769788267332,0.33668367327302856,0.18742112798516705,ORB,,family,6.0,0.0
MOM,-1.4229839860081808,-0.656794395962815,0.4615613404092371,-0.9943392621039665,-1.4555522640030736,-0.7398930641113267,0.5083246286715022,-0.9761546346660355,-1.3992499624547823,-0.5187311681586224,0.37072087338032395,-0.7770792105873314,-1.5416552923096423,0.23089619661654542,0.9750099186742958,0.4508554365135886,MOM,,family,3.0,0.0
RSI,-0.8506786984964616,-0.09986603856939374,0.11739572031826202,-0.5278402895814602,-0.7772472262704515,-0.10023982580667823,0.12896774979522244,-0.3661945197655696,-1.0452664279646895,-0.09935589746199565,0.09505317955677424,-0.27284189079027743,-0.6206808233318594,-0.4213568688333298,-0.544761492727402,-0.4546606233964168,RSI,,family,13.0,0.0
ASIA_REV,-1.1843063913741703,-0.3723234124520004,0.31438098718692836,-0.9348671034286639,-1.1946682872649594,-0.4126363290356372,0.3453982443782076,-0.8618066012599462,-1.200280620107701,-0.3054074687452982,0.2544467215657402,-0.5590465780988672,-0.6337808817278735,-0.1379179739322534,0.2368292940163609,-0.02299709147504719,ASIA_REV,,family,2.0,0.0
