sleeve,label,FULL_sharpe,FULL_ret,FULL_vol,IS_sharpe,IS_ret,IS_vol,OOS_sharpe,OOS_ret,OOS_vol,Y2022_sharpe,Y2022_ret,Y2022_vol,scale
wkd_BTCUSDT,wkd_BTCUSDT,-1.1860143976336714,-0.061193594580283055,0.05159599639125472,-1.1894190020582325,-0.06586949459679803,0.055379554625253194,-1.1985963527196166,-0.05345261010713479,0.044596005974697615,-1.2665742062867085,-0.07651197069299236,0.06040859691696003,0.33906097937019586
wkd_ETHUSDT,wkd_ETHUSDT,-1.4377359990016487,-0.07653002591579837,0.053229540033038154,-1.2648220805948553,-0.07097779000037313,0.056116817605676,-1.7875448823233493,-0.08589249097579456,0.04805053670269603,-1.1581985283362386,-0.07086808344042062,0.061188200214883005,0.267071356697581
wkd_SOLUSDT,wkd_SOLUSDT,-1.0255734908860987,-0.04886224720748132,0.047643828201199105,-1.0331734494744562,-0.05822777612652155,0.056358180861248657,-1.1340205796173053,-0.03566282269301303,0.03144812654550596,-1.0325339206774211,-0.056784974869051305,0.05499574757969793,0.15876764169710586
vpd_BTCUSDT,vpd_BTCUSDT,-0.658623144403465,-0.030096075894392494,0.045695442302823144,-0.8517663289567801,-0.04258831644783901,0.05000000000000001,-0.24694231320624077,-0.009238601516228141,0.037411982564981745,1.825363477162799,0.062109409024784984,0.034025776127241766,0.193950200235636
vpd_ETHUSDT,vpd_ETHUSDT,-0.45917742018715746,-0.020162451059808344,0.04390993584046505,-0.5034726757566579,-0.02517363378783289,0.049999999999999996,-0.378347134649666,-0.011804874505563155,0.03120117327304193,-0.10451862030586286,-0.004622546340905666,0.044227012635435346,0.15613395113982956
vpd_SOLUSDT,vpd_SOLUSDT,-0.39484381738947627,-0.016364022428591654,0.04144429191466885,-0.8893064775214895,-0.04446532387607449,0.05000000000000002,0.95101417317749,0.023389920212263812,0.02459471254157481,0.2561429805511961,0.006021463005190888,0.023508210110748513,0.10738580152425113
bot_BTCUSDT,bot_BTCUSDT,-0.587063390428399,-0.023222210636155875,0.039556564103256184,-0.7424745154080523,-0.03712372577040262,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3187561943714627
bot_ETHUSDT,bot_ETHUSDT,-0.14700159439862318,-0.005813340133024495,0.039546102590292335,-0.18586761466409824,-0.009293380733204914,0.05000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.1762453397662007
bot_SOLUSDT,bot_SOLUSDT,-0.47043831921027385,-0.018005432473462795,0.0382737369347135,-0.6148338461431431,-0.030741692307157162,0.05000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.1333406249697665
fnd_BTC,fnd_BTC,-0.45078798461604197,-0.018568563009394586,0.04119134414199246,-0.4754906889844488,-0.02377453444922244,0.05,-0.5245928866216882,-0.009883397214275138,0.018840128157137176,0.3987225848933229,0.014470491885672006,0.036292130001975044,0.17204220918953428
fnd_ETH,fnd_ETH,0.014146887013968332,0.0005852382840645479,0.04136869711949323,0.08134624501010494,0.004067312250505247,0.049999999999999996,-0.2637674126209656,-0.005237491100493717,0.019856475250109855,-0.8884837261811224,-0.03394532329105698,0.038205903260559025,0.13016071974301258
