symbol,class,sleeve,full_sharpe,full_dd,full_vol,is_sharpe,is_vol,oos_sharpe,oos_vol,y2022_sharpe
SPX500_USD,index,volregime_tsmom,0.5713926420022168,-0.07890720996705303,0.048961394674047636,0.4977494210932836,0.04999607693379033,0.7026048122912579,0.04717771386248458,-0.4547681267077656
SPX500_USD,index,volofvol_filter,0.18986860091731972,-0.10710568392307063,0.04449543113309528,-0.0975487767371598,0.049996053102193704,0.9239898014175699,0.033272479655539734,-1.4926262031773454
SPX500_USD,index,predictive_skew,0.19454773881172452,-0.11537278387529037,0.04315598145282985,-0.027716449355840306,0.05000241272894664,0.8789942185400615,0.028171051119687394,0.0
NAS100_USD,index,ewma_voltarget,1.0547050492080965,-0.07659216101043187,0.04874526451939076,1.0670110478632842,0.05000072776411597,1.0343269113140459,0.046568355205136254,-1.2664314590270698
NAS100_USD,index,volregime_tsmom,0.4918302430524159,-0.08184585807235834,0.04832047032117203,0.4005279197335477,0.049994750076284414,0.6616563444845638,0.04537850502262801,0.030393646437492292
NAS100_USD,index,volofvol_filter,0.3115498481295,-0.07816098502058133,0.04463685049487477,0.466396073015118,0.04999842016040916,-0.05450185150592195,0.03379254265947054,-0.6236732758374524
US30_USD,index,ewma_voltarget,0.7233498303132394,-0.06731032186129005,0.04693919938762652,0.6904273475782109,0.050002114842218864,0.7988645615477905,0.04130967325374811,-0.6998288262022093
US30_USD,index,volregime_tsmom,0.19216608831971313,-0.12574846810842288,0.04888642945429601,0.05573323031940259,0.05000363126342037,0.43556330043282815,0.04694954159407718,-0.38169933720397003
US30_USD,index,volofvol_filter,0.02773867790003284,-0.1647869786390036,0.04535070742310985,-0.6016697368774647,0.04998112673307088,1.4883489847186133,0.03606518795614143,-1.287090041274784
US30_USD,index,predictive_skew,-0.1329369903595694,-0.10212578286103136,0.04285903359282736,-0.16380418928924825,0.05000090885465353,-0.056616915326514805,0.02696609742530861,-0.30003522313515196
UK100_GBP,index,ewma_voltarget,0.5097921130015733,-0.05587737718110164,0.04530745814065826,0.32179943736522937,0.05000141164854134,0.9619861371474486,0.03614583138784272,-0.1665355270043683
UK100_GBP,index,volregime_tsmom,-0.040048559475940944,-0.15225976459091228,0.048055756768695924,-0.5366919038969855,0.05000676024415182,0.889672906768044,0.044493290978044935,-1.5430023416784524
UK100_GBP,index,volofvol_filter,-0.42205289617716724,-0.17397062702292265,0.04384319683111723,-0.61756713575956,0.049992782170143565,0.06801548592598651,0.03095307345508547,-1.1443643343692413
UK100_GBP,index,predictive_skew,-0.04293858376407183,-0.11230928774906657,0.04073141547095888,-0.1851876970381754,0.05000095838613859,0.6717764626649929,0.016024081850770436,0.7760511930530926
DE30_EUR,index,ewma_voltarget,0.7353607631586644,-0.08199326902408632,0.046228226850686456,0.6205323661742737,0.050001014137360564,0.9996412834689707,0.03902564914594707,-0.7888876668992708
DE30_EUR,index,volregime_tsmom,0.30440963239933755,-0.1395126775462121,0.0478866421333061,-0.0765347753860239,0.049999543688905364,1.0382076621666196,0.044014708464664216,-0.6324838477207126
DE30_EUR,index,volofvol_filter,-0.33925600454923566,-0.11815738136339271,0.04474898668396345,-0.25855112004654784,0.04998474574725263,-0.5569465921188479,0.03411280979014716,-0.4426950687358366
DE30_EUR,index,predictive_skew,-0.17730830217043947,-0.10119032818537055,0.0396371329827053,-0.22368377128689398,0.05000064370933853,0.0,0.0,-0.33947487976958673
JP225_USD,index,ewma_voltarget,0.9166792876369354,-0.08056945512377289,0.0509175754330035,0.774587057258775,0.0500006888879838,1.1443256417845327,0.05240511122613043,-0.8397139289018033
JP225_USD,index,volregime_tsmom,0.8384394078864393,-0.08031284259875937,0.05530360816066066,0.25807781169045557,0.0499953223416218,1.6238082067072666,0.06303827502338567,0.23996688846061207
JP225_USD,index,volofvol_filter,0.16302687839994273,-0.12017769033774461,0.0537482445772083,-0.261343029724946,0.04999893434744188,0.7620773905730868,0.059424193402005,-0.8856714775535394
JP225_USD,index,predictive_skew,0.5061782159159649,-0.07406911627550106,0.04801865974918177,0.0810985983690416,0.04999959800728157,1.309802940538534,0.04442569933633536,-0.525111420818058
