ts,corr_90d_d1
2022-01-17 00:00:00+00:00,0.18611644646307623
2022-01-18 00:00:00+00:00,0.18109732532984396
2022-01-19 00:00:00+00:00,0.1857861526242011
2022-01-20 00:00:00+00:00,0.1893603675667846
2022-01-24 00:00:00+00:00,0.16417917410245808
2022-01-25 00:00:00+00:00,0.1662043343682775
2022-01-26 00:00:00+00:00,0.15503426125412584
2022-01-27 00:00:00+00:00,0.15953209259749448
2022-01-31 00:00:00+00:00,0.16926812063251093
2022-02-01 00:00:00+00:00,0.17525073348917075
2022-02-02 00:00:00+00:00,0.1954670599776264
2022-02-03 00:00:00+00:00,0.1913533830640163
2022-02-07 00:00:00+00:00,0.19921863449670613
2022-02-08 00:00:00+00:00,0.19763020586928126
2022-02-09 00:00:00+00:00,0.18742334549297265
2022-02-10 00:00:00+00:00,0.1974671621397252
2022-02-14 00:00:00+00:00,0.2106262361694191
2022-02-15 00:00:00+00:00,0.20921432561697076
2022-02-16 00:00:00+00:00,0.2159567431391471
2022-02-17 00:00:00+00:00,0.22211522703284267
2022-02-21 00:00:00+00:00,0.20331195661895665
2022-02-22 00:00:00+00:00,0.1754835358235647
2022-02-23 00:00:00+00:00,0.16347421939809464
2022-02-24 00:00:00+00:00,0.1861389571293016
2022-02-28 00:00:00+00:00,0.13776427517697654
2022-03-01 00:00:00+00:00,0.1285769408044082
2022-03-02 00:00:00+00:00,0.12799393634017542
2022-03-03 00:00:00+00:00,0.1263893214058248
2022-03-07 00:00:00+00:00,0.13078876321602972
2022-03-08 00:00:00+00:00,0.14810128170284043
2022-03-09 00:00:00+00:00,0.11647254057887751
2022-03-10 00:00:00+00:00,0.12913390582389628
2022-03-14 00:00:00+00:00,0.1464612869642824
2022-03-15 00:00:00+00:00,0.12436174686288838
2022-03-16 00:00:00+00:00,0.1277393218958727
2022-03-17 00:00:00+00:00,0.1322764268705053
2022-03-21 00:00:00+00:00,0.1346950606272938
2022-03-22 00:00:00+00:00,0.11071618012374895
2022-03-23 00:00:00+00:00,0.11506157715789454
2022-03-24 00:00:00+00:00,0.11592807968988246
2022-03-28 00:00:00+00:00,0.11628201847425937
2022-03-29 00:00:00+00:00,0.11489017329342056
2022-03-30 00:00:00+00:00,0.11733223833185932
2022-03-31 00:00:00+00:00,0.11808974151104931
2022-04-04 00:00:00+00:00,0.11282381726576793
2022-04-05 00:00:00+00:00,0.12560810063252373
2022-04-06 00:00:00+00:00,0.11142745637077829
2022-04-07 00:00:00+00:00,0.11137032929056852
2022-04-11 00:00:00+00:00,0.10795400474009896
2022-04-12 00:00:00+00:00,0.11229481725235799
2022-04-13 00:00:00+00:00,0.10518320026591663
2022-04-18 00:00:00+00:00,0.12034309894308791
2022-04-19 00:00:00+00:00,0.12264724360096038
2022-04-20 00:00:00+00:00,0.1227072077070428
2022-04-21 00:00:00+00:00,0.13377965332702768
2022-04-25 00:00:00+00:00,0.10813757560826556
2022-04-26 00:00:00+00:00,0.07977579247316786
2022-04-27 00:00:00+00:00,0.08799658136810827
2022-04-28 00:00:00+00:00,0.07707099241913923
2022-05-02 00:00:00+00:00,0.07949155129811157
2022-05-03 00:00:00+00:00,0.07916765733123672
2022-05-04 00:00:00+00:00,0.0808123403989559
2022-05-05 00:00:00+00:00,0.1160634487219092
2022-05-09 00:00:00+00:00,0.10829266384749348
2022-05-10 00:00:00+00:00,0.0955088255136794
2022-05-11 00:00:00+00:00,0.10232191170022235
2022-05-12 00:00:00+00:00,0.09855330372169205
2022-05-16 00:00:00+00:00,0.06373582521696372
2022-05-17 00:00:00+00:00,0.04021731013841024
2022-05-18 00:00:00+00:00,0.04268600431974613
2022-05-19 00:00:00+00:00,0.05762889414306992
2022-05-23 00:00:00+00:00,0.054172436911799904
2022-05-24 00:00:00+00:00,0.043902287258010396
2022-05-25 00:00:00+00:00,0.0447630810259281
2022-05-26 00:00:00+00:00,0.03482278927287607
2022-05-30 00:00:00+00:00,0.016111038591878672
2022-05-31 00:00:00+00:00,0.0057980267655825925
2022-06-01 00:00:00+00:00,-0.01902372189985648
2022-06-02 00:00:00+00:00,-0.026332891180626868
2022-06-06 00:00:00+00:00,-0.015990931725573983
2022-06-07 00:00:00+00:00,-0.015623709552543349
2022-06-08 00:00:00+00:00,-0.003352875631700555
2022-06-09 00:00:00+00:00,-0.002172625632735213
2022-06-13 00:00:00+00:00,0.0022078928607643204
2022-06-14 00:00:00+00:00,0.0005971020818414911
2022-06-15 00:00:00+00:00,-0.010998806313240902
2022-06-16 00:00:00+00:00,-0.016199587055869682
2022-06-20 00:00:00+00:00,-0.017183063537004734
2022-06-21 00:00:00+00:00,-0.010840022556135332
2022-06-22 00:00:00+00:00,-0.013163827148612368
2022-06-23 00:00:00+00:00,0.016433145429468263
2022-06-27 00:00:00+00:00,0.02087048487278199
2022-06-28 00:00:00+00:00,0.01819159154146296
