symbol,weekday,n,mean_bps,std_bps,t,sig95,sig99
XAU_USD,Thu,331,6.746555406362718,103.21059369407142,1.1892463085359672,False,False
XAU_USD,Fri,324,8.651732824512663,119.74851772893592,1.3004853320501453,False,False
SPX500_USD,Mon,329,16.17983470458697,125.2304962076457,2.3434836508842167,True,False
SPX500_USD,Tue,333,3.4047923939458986,116.47604971569716,0.5334283824328749,False,False
SPX500_USD,Wed,331,10.754680765870217,126.23680432626766,1.5499779810723273,False,False
SPX500_USD,Thu,331,-6.362874695170599,134.22004738686104,-0.8624818801952503,False,False
SPX500_USD,Fri,327,1.1540757870436231,125.62348582824016,0.16612590721819973,False,False
NAS100_USD,Mon,329,24.070766256794283,148.86036081635163,2.9329779450927993,True,True
NAS100_USD,Tue,333,5.36837658465332,143.2292403102672,0.6839642492047502,False,False
NAS100_USD,Wed,331,15.986327079411401,162.68724173815818,1.7877599145692218,False,False
NAS100_USD,Thu,331,-7.1618877326835495,165.10082437527166,-0.7892094266242765,False,False
NAS100_USD,Fri,327,-1.9524148621172475,152.3965921146791,-0.23167049457651775,False,False
US30_USD,Mon,329,12.946651781478591,128.01952978995593,1.834337262903592,False,False
US30_USD,Tue,333,1.416974475380792,114.24103987195373,0.2263403568865253,False,False
US30_USD,Wed,331,7.914429509779965,116.13911676176664,1.2398098813331853,False,False
US30_USD,Thu,331,-6.3998803156216475,126.87036903505783,-0.9177526476086465,False,False
US30_USD,Fri,327,1.0958140567897814,120.47505648640947,0.1644801922266376,False,False
UK100_GBP,Mon,300,4.567620275988146,131.22169237670568,0.6028995850001444,False,False
UK100_GBP,Tue,330,6.4009347020234655,101.95477088199769,1.1404934982140118,False,False
UK100_GBP,Wed,331,15.098952861716137,103.16190896677712,2.6628178293688762,True,True
UK100_GBP,Thu,329,-15.260898583832274,111.85104001208947,-2.474788154594627,True,False
UK100_GBP,Fri,322,-0.9903592545481759,112.21118524949081,-0.1583742424015005,False,False
DE30_EUR,Mon,322,8.437129536741713,152.79309144238792,0.9908751451020623,False,False
DE30_EUR,Tue,330,7.256258987505579,119.37140866098403,1.1042551314111266,False,False
DE30_EUR,Wed,328,13.848607046873843,130.19912340622994,1.9263489208740094,False,False
DE30_EUR,Thu,327,-8.551768193739493,137.70014069748183,-1.1230404849275166,False,False
DE30_EUR,Fri,320,-2.282460271184339,123.27420551523771,-0.3312119547461969,False,False
JP225_USD,Mon,329,20.060203224302043,146.0432210187508,2.491448271203419,True,False
JP225_USD,Tue,333,2.525661636665644,132.65156571292806,0.34744407015071205,False,False
JP225_USD,Wed,331,15.41629304596837,137.79041418120198,2.035518006071232,True,False
JP225_USD,Thu,331,-8.568735702250926,147.07189265097736,-1.0599882790315671,False,False
JP225_USD,Fri,327,0.3477032202240005,148.61388697598318,0.04230806822080176,False,False
