ensemble,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,yr2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,n_trades,exposure,survived,vol_scale
SIGNVOTE,SOLUSDT,crypto,0.02609066387874504,0.08920476117929355,0.04375855143608901,0.800681372474147,0.03254829893475307,0.06706435532984865,0.0468415073331007,-0.9693543450494095,610,0.8395646000946522,False,0.0
ZSCORE,SOLUSDT,crypto,-0.6670258410988456,-0.2074161395377054,-0.5148024540526874,-0.9339229290411765,-0.5785785789885455,-0.11056605086398141,-0.38477310709597873,-0.984806474645504,606,0.4117368670137246,False,0.0
TRENDQUAL,SOLUSDT,crypto,0.6125534644589921,0.0347934819625284,0.432105488241908,-0.08759418822567912,0.5175920575190026,0.016835725049957024,0.3102272724217878,-0.6797613865406587,376,0.31140558447704686,True,0.059173383319981024
MEANREV,SOLUSDT,crypto,-0.5484553063774928,0.0,-0.4197375024364736,0.0,-0.015905312133823787,0.0,-0.009318871945893918,-0.05388370252145924,1,0.000473260766682442,False,0.0
VOLREGIME,SOLUSDT,crypto,0.8319709134881056,0.06833109885986513,0.5677316680651862,0.7030561351492589,0.9144864016728032,0.05394625259737244,0.5581339972993995,-0.8012121629059242,209,0.9895882631329863,True,0.04548842453896756
SIGNVOTE,EUR_USD,forex,-0.10748945438471834,-0.8207962088493455,-0.3491749325174831,0.12268869278211783,-0.00944653362069072,-0.062236499412835364,-0.02918705158880271,-0.23865739651281936,478,0.8558504221954162,False,0.0
ZSCORE,EUR_USD,forex,-0.9087541417862407,0.03305880847476305,-0.5288502850568477,0.5451344141503172,-0.041434672844260965,0.0016983144846568566,-0.025305328969756118,-0.1553251699494932,358,0.27864897466827504,False,0.0
TRENDQUAL,EUR_USD,forex,-0.13486354760336258,0.2653593288103474,0.013478039991922661,0.1813005937344939,-0.007100324401897499,0.013775117031091915,0.000705932346265007,-0.09142669272713033,291,0.3226779252110977,False,0.0
MEANREV,EUR_USD,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,False,0.0
VOLREGIME,EUR_USD,forex,-0.377655443700613,0.06438772111046016,-0.2169493107957988,-0.5812732576310794,-0.029898127579148566,0.004871751356035299,-0.016896122187222157,-0.19311708355678892,198,0.9867310012062727,False,0.0
