label,symbol,timeframe,scenario,cost_bps_per_side,IS_sharpe,OOS_sharpe,FULL_sharpe,Y2022_sharpe,IS_dd,OOS_dd,FULL_dd,survives
ORB_H1_UK100_GBP,UK100_GBP,H1,baseline,1.4999999999999998,-1.1501369425951276,-0.27572498305261733,-0.8757442386244553,-0.4926732162565638,-0.312891259982782,-0.07665320148120247,-0.33982581328222816,False
ORB_H1_UK100_GBP,UK100_GBP,H1,optimistic,0.5,-0.8421305584677408,0.1566829577714952,-0.5341998466937665,-0.14987493594582357,-0.27344950048942573,-0.06733115990149463,-0.27344950048942573,False
ORB_H1_UK100_GBP,UK100_GBP,H1,aggressive,0.3,-0.7804312198751788,0.24318685166416454,-0.46580398621375085,-0.08127098963148326,-0.2652997311137415,-0.0668087274647432,-0.2652997311137415,False
ORB_H1_JP225_USD,JP225_USD,H1,baseline,1.4999999999999998,-0.779933073418317,-0.7286908050032253,-0.7600534333376651,-1.6814289962135593,-0.2189633527659678,-0.15998256098268027,-0.3299700055926639,False
ORB_H1_JP225_USD,JP225_USD,H1,optimistic,0.5,-0.41187499606421984,-0.38262115957421594,-0.40055262178942963,-1.168774113227622,-0.1548368180715255,-0.13010053512714537,-0.2467957781310448,False
ORB_H1_JP225_USD,JP225_USD,H1,aggressive,0.3,-0.3382169244770484,-0.31332726976385694,-0.32859271588376343,-1.0658083072537041,-0.14139641661694025,-0.12412938110387428,-0.2289619049167545,False
NAS100_BB_MR_H1,NAS100_USD,H1,baseline,1.4999999999999998,-0.6172718319175671,-0.5634048083293066,-0.5965725568340887,-1.0485031282287263,-0.5203805792759215,-0.3484482934436198,-0.6578701859152933,False
NAS100_BB_MR_H1,NAS100_USD,H1,optimistic,0.5,-0.3874260375416201,-0.2753315272925468,-0.3487808158066726,-0.8595443542699888,-0.45454094157402014,-0.30814722418759855,-0.5661713440706261,False
NAS100_BB_MR_H1,NAS100_USD,H1,aggressive,0.3,-0.34143880953438294,-0.21769215154744423,-0.2992024797528032,-0.8217383300460112,-0.44032672731609546,-0.2997931822147327,-0.5450722172316232,False
EURUSD_FADE_H1,EUR_USD,H1,baseline,1.0,-0.43285204558278784,-0.4144742174588204,-0.421183191144137,0.1598817920062705,-0.0720588131558304,-0.044525849086544,-0.0998563359008855,False
EURUSD_FADE_H1,EUR_USD,H1,optimistic,0.5,-0.09731951635972089,-0.09891980905123367,-0.09635917091255466,0.5807193461741428,-0.053348855089805025,-0.03771740648609534,-0.07414596978360277,False
EURUSD_FADE_H1,EUR_USD,H1,aggressive,0.2,0.10428775320273313,0.09010607564310809,0.09868176029416217,0.8333520993362055,-0.048195158394755855,-0.033609242755948676,-0.0645144411903521,False
VOLBO_H1_BTCUSDT,BTCUSDT,H1,baseline,5.0,-0.9226701548408534,-1.7777039844455536,-1.1413836827801163,1.973637915933237,-0.9536476525598055,-0.7701686567356264,-0.9794697568476756,False
VOLBO_H1_BTCUSDT,BTCUSDT,H1,optimistic,1.0,-0.4662837134802959,-1.0241780026970397,-0.6112963447875926,2.3938106403894435,-0.9266163623342303,-0.6437227297689652,-0.9266163623342303,False
VOLBO_H1_BTCUSDT,BTCUSDT,H1,aggressive,0.5,-0.4092039286959779,-0.929744811814232,-0.5449717107658857,2.446233841407832,-0.9222812550705233,-0.6262705268694658,-0.9222812550705233,False
VOLBO_H1_ETHUSDT,ETHUSDT,H1,baseline,5.0,-0.65184131399208,-0.5133367519117539,-0.6030147123199076,-0.21001531083604116,-0.9551145938234309,-0.6741481243927967,-0.9763012707003195,False
VOLBO_H1_ETHUSDT,ETHUSDT,H1,optimistic,1.0,-0.2789569741348891,0.032844827806482284,-0.18412957443368705,0.14705106117308603,-0.9146068508945555,-0.6008948500545945,-0.9222211963984536,False
VOLBO_H1_ETHUSDT,ETHUSDT,H1,aggressive,0.5,-0.23232257411709703,0.1012051288419571,-0.1317329573575932,0.1916751917340731,-0.9078144434551995,-0.590653149953853,-0.9097695351017715,False
