strategy,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,y2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,n_trades,exposure,gate_rate,vol_scale,survived
ANTI_QUALITY,XAU_USD,forex,-0.15771220113860476,1.6175608362931317,0.3377516566697659,0.1273137227438026,-0.0076926664417467676,0.051981484932077826,0.014635381707222169,-0.0978715576154664,204,0.22741055184960582,0.22741055184960582,0.0,False
VANILLA,SPX500_USD,index,0.07767750368605429,1.2294941727781017,0.5512347024003764,-1.545276408122423,0.0074700837102597934,0.13914781490888314,0.05672967080514432,-0.18561299100600115,794,0.961864406779661,0.961864406779661,0.0,False
R2_FILTER,SPX500_USD,index,-0.1082676001791988,0.3179558458424239,0.0859536483044165,-2.158284683137069,-0.005713599482589627,0.02379590505506254,0.0053256703747160865,-0.09819737251945637,300,0.35411622276029053,0.35411622276029053,0.0,False
HIT_FILTER,SPX500_USD,index,-0.31343810319644777,-0.07105387625173286,-0.19417435021498267,1.1132915855605932,-0.011581304639756401,-0.00397194873300874,-0.008734705396190996,-0.10372720664020141,185,0.19854721549636803,0.19854721549636803,0.0,False
DD_FILTER,SPX500_USD,index,0.5476666146046465,1.398736770602455,0.9064729845066826,-0.994218438589128,0.04524458373504793,0.14513374241797256,0.08261231985251004,-0.11452097962253505,634,0.7657384987893463,0.7657384987893463,0.6052289239876529,True
COMBO_GATE,SPX500_USD,index,-0.09398128732692884,0.37187807560725133,0.14176357711015447,1.9805743821183455,-0.003960847260611676,0.028353676933711564,0.008127758037264694,-0.08542088931991532,247,0.28692493946731235,0.28692493946731235,0.0,False
Q_WEIGHTED,SPX500_USD,index,0.5308097220185989,0.4676221567718643,0.492511814085687,-1.7350847817570811,0.029343764297546652,0.037770836814030706,0.03249626479100134,-0.0822118945603364,551,0.6452784503631961,0.6452784503631961,0.90446766924,True
ANTI_QUALITY,SPX500_USD,index,-0.014918107222675383,-1.2006262715844405,-0.4919038086595298,0.39384385419174595,-0.0008706606960166775,-0.07922373624779908,-0.030181920194201618,-0.18365061703534313,279,0.31658595641646486,0.31658595641646486,0.0,False
VANILLA,NAS100_USD,index,0.5497753584186562,0.3010266076179117,0.44727394984418806,-0.06972645602344213,0.0535047809885362,0.03374153831460105,0.04611150981874688,-0.1194899267361379,794,0.961864406779661,0.961864406779661,0.5137628341441578,True
R2_FILTER,NAS100_USD,index,0.5822270788770512,0.37584571078986473,0.492100821098431,-0.9237298738232242,0.03450719785682492,0.027437783484682312,0.03186258642705245,-0.06800730868250271,288,0.3407990314769976,0.3407990314769976,0.8436313509036447,True
HIT_FILTER,NAS100_USD,index,-0.37522049761727344,0.11376524314610507,-0.18100945834578674,-1.2296238615943171,-0.018008252849037103,0.006007935836314885,-0.009023988558754088,-0.16462635423040428,190,0.20581113801452786,0.20581113801452786,0.0,False
DD_FILTER,NAS100_USD,index,0.9907172438841526,0.8144050635710335,0.9055212444976145,-0.18419592230876652,0.07253624370222411,0.07783265907931837,0.07451759037476904,-0.08430167086110774,497,0.597457627118644,0.597457627118644,0.6829118750284661,True
COMBO_GATE,NAS100_USD,index,0.5646534161500811,0.5346472434253198,0.5294329799173436,0.0,0.02513739180639054,0.04115202305046176,0.031128337392853016,-0.07046926417168287,235,0.27663438256658596,0.27663438256658596,1.1231344534450318,True
Q_WEIGHTED,NAS100_USD,index,0.5577957386568156,0.6172836385094144,0.5761480537506108,-0.9864207409806086,0.031298767882591824,0.0493513511038707,0.03805209501984989,-0.0828303504819281,505,0.5968523002421308,0.5968523002421308,0.8910825831055448,True
ANTI_QUALITY,NAS100_USD,index,-0.027714730454290352,0.06411446374863707,0.00905863660469217,-0.4758038148478103,-0.0016780409137606028,0.004340883816454148,0.0005735907347095632,-0.1290539267615335,314,0.36501210653753025,0.36501210653753025,0.0,False
VANILLA,US30_USD,index,-0.47335283436678677,-0.2298510996421262,-0.3721797000427552,-1.3072126288033665,-0.04499956955747817,-0.02551401158643116,-0.03771017801625114,-0.25209259834843645,794,0.961864406779661,0.961864406779661,0.0,False
R2_FILTER,US30_USD,index,-1.1612986858848224,0.2055881508587073,-0.54062922771684,-2.457087719028028,-0.05307544191270482,0.0128182283149455,-0.028425146391707297,-0.15322981939631175,231,0.2675544794188862,0.2675544794188862,0.0,False
HIT_FILTER,US30_USD,index,-0.043786205271067725,0.8139466756705751,0.47745575018591135,0.0,-0.0003120300167064268,0.03294921624142454,0.01213073644063312,-0.026013196909053904,70,0.07687651331719128,0.07687651331719128,0.0,False
DD_FILTER,US30_USD,index,-0.12879181535391732,0.4768552715882232,0.12553007415976172,-0.6644416648242386,-0.010789304842654049,0.048581883741091896,0.011420982412040264,-0.19730621323699704,640,0.7717917675544794,0.7717917675544794,0.0,False
COMBO_GATE,US30_USD,index,0.16176868487159804,0.7457970412558558,0.4389897631737025,-0.615390183306391,0.00728696155288058,0.05616256108767553,0.02557093280742252,-0.06805214369065649,267,0.30811138014527845,0.30811138014527845,0.0,False
