strategy,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,yr2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,is_n,oos_n,n_trades,exposure,survived,vol_scale
MOM12,UK100_GBP,index,-1.1196646702285902,-0.7844249598646024,-1.0062811226657273,-1.5419654670621263,-0.1681431802179761,-0.09142828528938843,-0.13957667279712066,-0.6279622325681231,209,124,25,0.9579579579579579,False,0.0
DONCH,UK100_GBP,index,-0.12310476050679764,0.4474430898371485,0.07907439898984067,-0.7708256786420891,-0.012670537834972238,0.042637795575187105,0.007924757488930933,-0.18609751280650766,209,124,8,0.6156156156156156,False,0.0
ZREV,UK100_GBP,index,0.6817103300739971,0.5017124630031695,0.6199957009562308,1.0857211502542876,0.01460065785947412,0.008809678218860938,0.012444257032338882,-0.015256705477582067,209,124,12,0.036036036036036036,True,2.334519227267718
RSI_MA,UK100_GBP,index,-0.3788373343309558,1.108016460236681,0.13753725497671276,-1.0639454518345273,-0.02549884983218026,0.06704281835324277,0.008961110693322607,-0.1581179727134796,209,124,44,0.3663663663663664,False,0.0
XSMOM,UK100_GBP,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
EXHAUST,UK100_GBP,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
CALENDAR,UK100_GBP,index,0.5977513123449913,0.1826993564548672,0.47543056930395633,0.6586259709370486,0.06826322630881453,0.01281115225903802,0.04761440594193078,-0.14236311866728735,209,124,77,0.3183183183183183,True,0.43782820170324005
MOM12,DE30_EUR,index,-0.4545662435067727,-0.22238989366699952,-0.3767079648092997,-0.21343784904858232,-0.08707685614485176,-0.03509637349498273,-0.0677207605034591,-0.41544792334685676,209,124,22,0.960960960960961,False,0.0
DONCH,DE30_EUR,index,0.33808459826470144,0.7541272249097843,0.5037175686585352,0.40498880906230983,0.04231370122646763,0.10643772642405994,0.06619171661536086,-0.13274919344250025,209,124,8,0.6486486486486487,False,0.0
ZREV,DE30_EUR,index,0.6193901934952061,-0.6955575174085575,-0.07499239946863162,1.1302198981789564,0.009999061931689578,-0.021455935857346592,-0.0017139102179815483,-0.07089082115482237,209,124,10,0.03003003003003003,False,0.0
RSI_MA,DE30_EUR,index,-0.3868561710198664,-0.44831448937136836,-0.41061124697842305,-1.415404579225293,-0.02402321543125037,-0.03426636196912173,-0.02783748020811538,-0.19230176135791466,209,124,38,0.3033033033033033,False,0.0
XSMOM,DE30_EUR,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
EXHAUST,DE30_EUR,index,0.6791775608165692,0.1438946934871186,0.5027185726171434,1.3801606284717673,0.010277047704931529,0.0017609148113808242,0.007105875095921656,-0.011145692775504257,209,124,2,0.012012012012012012,True,3.3043417736139347
CALENDAR,DE30_EUR,index,0.7213149083703403,0.6548849285076872,0.692268453040629,1.147309635794341,0.10160965411625417,0.06411141075091994,0.08764634427450807,-0.17069845700278097,209,124,77,0.3183183183183183,True,0.3549440821563401
MOM12,JP225_USD,index,-0.5923313400000323,0.27048659967846234,-0.19808713087562121,-1.7584153538518181,-0.10229026190759324,0.06529650667678337,-0.039885579311609146,-0.5880711729901793,209,124,21,0.960960960960961,False,0.0
DONCH,JP225_USD,index,0.538564214108694,1.4472338849422304,0.951329036385906,-0.9312685448572702,0.06250696031333462,0.2712686557505309,0.14024404810376206,-0.21762036719982936,209,124,6,0.6036036036036037,True,0.4308033948611336
ZREV,JP225_USD,index,-0.8393203736508367,0.07614695206565404,-0.22519533489681592,-1.0160561476780163,-0.01662596119208719,0.004449091776772135,-0.00877819372019963,-0.08923478345455094,209,124,13,0.03903903903903904,False,0.0
RSI_MA,JP225_USD,index,-0.45548913044633954,1.1139691488414507,0.3374401432332823,-0.7537031034836073,-0.03568171578801426,0.15692717228989927,0.03604051280556314,-0.23705633515569557,209,124,44,0.33933933933933935,False,0.0
XSMOM,JP225_USD,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,124,1,0.0,False,0.0
EXHAUST,JP225_USD,index,-0.004383721345427319,0.0,-0.003472913261397762,0.0,-0.00013737708354021356,0.0,-8.622165303274665e-05,-0.03779651090584479,209,124,1,0.012012012012012012,False,0.0
CALENDAR,JP225_USD,index,0.13447003601449004,1.199330124020481,0.5769371468170945,-0.07837075196303492,0.015862776381874357,0.17264546055931151,0.07424431643593503,-0.20484480819952167,209,124,77,0.3183183183183183,False,0.0
