name,symbol,tf,period,scale,exposure,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate
D1REV_NAS,NAS100_USD,D1,OOS,0.40298465096183694,0.5744336569579288,0.050339978271360386,0.06756268276964893,0.7450855443824166,-0.05957036398997373,206,0.5098591549295775
D1REV_UK,UK100_GBP,D1,FULL,0.5655766201422637,0.48729076255424675,0.054885011097967666,0.08483918404241103,0.6469299736608818,-0.08878633668266911,468,0.544529262086514
D1REV_UK,UK100_GBP,D1,IS,0.5655766201422637,0.5109126984126984,0.07481467074474082,0.0986653958902524,0.7582665641757396,-0.06979316439024019,298,0.5475728155339806
D1REV_UK,UK100_GBP,D1,OOS,0.5655766201422637,0.4479338842975207,0.021797350118062424,0.054583697907454945,0.39933809825452266,-0.05706426441040091,170,0.5387453874538746
D1REV_SPX,SPX500_USD,D1,FULL,0.4896742454692821,0.5472154963680388,0.028619298089870893,0.08696071288184654,0.3291060657328777,-0.1186586853896856,509,0.4856194690265487
D1REV_SPX,SPX500_USD,D1,IS,0.4896742454692821,0.5967117988394585,0.03170939444698578,0.0996206051483554,0.31830156421720207,-0.1186586853896856,325,0.47649918962722854
D1REV_SPX,SPX500_USD,D1,OOS,0.4896742454692821,0.46440129449838186,0.023581407031220664,0.06037591854366113,0.3905763688575215,-0.057182918550006345,184,0.5052264808362369
WED_BTC,BTCUSDT,D1,FULL,0.36301898371715363,0.1430406852248394,0.07521329085673875,0.09136937829465318,0.8231783148856134,-0.12218341068857363,334,0.5179640718562875
WED_BTC,BTCUSDT,D1,IS,0.36301898371715363,0.1430527036276523,0.07288459095140201,0.10001577222123983,0.7287309724528017,-0.12218341068857363,209,0.5167464114832536
WED_BTC,BTCUSDT,D1,OOS,0.36301898371715363,0.14302059496567507,0.0791939496799328,0.07476894713396215,1.0591823573233212,-0.08085640740812616,125,0.52
WED_ETH,ETHUSDT,D1,FULL,0.26721342563857664,0.1430406852248394,0.07530161136369513,0.09052516485251426,0.8318307012903904,-0.09978519861442914,334,0.5299401197604791
WED_ETH,ETHUSDT,D1,IS,0.26721342563857664,0.1430527036276523,0.0689836882721866,0.0976128240425491,0.7067072277523375,-0.09978519861442914,209,0.5358851674641149
WED_ETH,ETHUSDT,D1,OOS,0.26721342563857664,0.14302059496567507,0.08595392445071248,0.07728929005304722,1.112106533670038,-0.0731538771949859,125,0.52
WED_SOL,SOLUSDT,D1,FULL,0.14725777963928324,0.1429247515380975,0.03579009600620726,0.0793607069640421,0.450980055185541,-0.1561832497784934,302,0.5231788079470199
WED_SOL,SOLUSDT,D1,IS,0.14725777963928324,0.1429725363489499,0.03166077645549997,0.09565873051916458,0.33097633936462234,-0.1561832497784934,177,0.519774011299435
WED_SOL,SOLUSDT,D1,OOS,0.14725777963928324,0.14285714285714285,0.04167540307740991,0.04762325826381276,0.8751060846476686,-0.03618497428157463,125,0.528
JPY_WED23,USD_JPY,H1,FULL,14.252371818854675,0.008345482881705293,-0.03408762003295494,0.10776813138634406,-0.316305197041529,-0.37903857839079746,332,0.4789156626506024
JPY_WED23,USD_JPY,H1,IS,14.252371818854675,0.008392226148409895,-0.0024267690499652685,0.09889691461532567,-0.024538369669109997,-0.37903857839079746,209,0.49282296650717705
JPY_WED23,USD_JPY,H1,OOS,14.252371818854675,0.00826724022045974,-0.08714760440685336,0.12132352881498322,-0.7183075307655477,-0.2126123177727941,123,0.45528455284552843
